,id_city,city_name,density_degree,density_type,total_pop_2019
449,02059,Beautor,4,Ceintures urbaines,2714
450,02060,Beauvois-en-Vermandois,6,Rural à habitat dispersé,257
451,02061,Becquigny,6,Rural à habitat dispersé,246
452,02062,Belleau,6,Rural à habitat dispersé,137
453,02063,Bellenglise,6,Rural à habitat dispersé,378
454,02064,Belleu,2,Centres urbains intermédiaires,3832
455,02065,Bellicourt,5,Bourgs ruraux,600
456,02066,Benay,6,Rural à habitat dispersé,196
457,02067,Bergues-sur-Sambre,6,Rural à habitat dispersé,210
458,02068,Berlancourt,7,Rural à habitat très dispersé,88
459,02069,Berlise,7,Rural à habitat très dispersé,105
460,02070,Bernot,6,Rural à habitat dispersé,445
461,02071,Berny-Rivière,6,Rural à habitat dispersé,658
462,02072,Berrieux,6,Rural à habitat dispersé,186
463,02073,Berry-au-Bac,6,Rural à habitat dispersé,670
464,02074,Bertaucourt-Epourdon,6,Rural à habitat dispersé,593
465,02075,Berthenicourt,5,Bourgs ruraux,195
466,02076,Bertricourt,6,Rural à habitat dispersé,152
467,02077,Berzy-le-Sec,6,Rural à habitat dispersé,379
468,02078,Besmé,6,Rural à habitat dispersé,163
469,02079,Besmont,7,Rural à habitat très dispersé,149
470,02080,Besny-et-Loizy,6,Rural à habitat dispersé,333
471,02081,Béthancourt-en-Vaux,6,Rural à habitat dispersé,434
472,02082,Beugneux,7,Rural à habitat très dispersé,110
473,02083,Beuvardes,6,Rural à habitat dispersé,750
474,02084,Bézu-le-Guéry,6,Rural à habitat dispersé,257
